Date,Region_Name,Area_Code,Average_Price,Monthly_Change,Annual_Change,Average_Price_SA,Year
1968-04-01,Northern Ireland,N92000001,3465,,,,1968
1968-04-01,England,E92000001,3218,,,,1968
1968-04-01,Wales,W92000004,2732,,,,1968
1968-04-01,Scotland,S92000003,2738,,,,1968
1968-04-01,London,E12000007,4730,,,,1968
1968-04-01,East Midlands,E12000004,2914,,,,1968
1968-04-01,Yorkshire and The Humber,E12000003,2553,,,,1968
1968-04-01,South West,E12000009,3347,,,,1968
1968-04-01,United Kingdom,K02000001,3311,,,,1968
1968-05-01,England,E92000001,3218,,,,1968
1968-05-01,Northern Ireland,N92000001,3465,,,,1968
1968-05-01,Wales,W92000004,2732,,,,1968
1968-05-01,Scotland,S92000003,2738,,,,1968
1968-05-01,Yorkshire and The Humber,E12000003,2553,,,,1968
1968-05-01,London,E12000007,4730,,,,1968
1968-05-01,East Midlands,E12000004,2914,,,,1968
1968-05-01,South West,E12000009,3347,,,,1968
1968-05-01,United Kingdom,K02000001,3311,,,,1968
1968-06-01,Scotland,S92000003,2738,,,,1968
1968-06-01,Wales,W92000004,2732,,,,1968
1968-06-01,England,E92000001,3218,,,,1968
1968-06-01,Northern Ireland,N92000001,3465,,,,1968
1968-06-01,London,E12000007,4730,,,,1968
1968-06-01,South West,E12000009,3347,,,,1968
1968-06-01,Yorkshire and The Humber,E12000003,2553,,,,1968
1968-06-01,East Midlands,E12000004,2914,,,,1968
1968-06-01,United Kingdom,K02000001,3311,,,,1968
1968-07-01,England,E92000001,3327,3.4,,,1968
1968-07-01,Northern Ireland,N92000001,3326,-4.0,,,1968
1968-07-01,Wales,W92000004,2864,4.8,,,1968
1968-07-01,Scotland,S92000003,3001,9.6,,,1968
1968-07-01,London,E12000007,4865,2.9,,,1968
1968-07-01,Yorkshire and The Humber,E12000003,2581,1.1,,,1968
1968-07-01,East Midlands,E12000004,3057,4.9,,,1968
1968-07-01,South West,E12000009,3429,2.5,,,1968
1968-07-01,United Kingdom,K02000001,3424,3.4,,,1968
1968-08-01,Scotland,S92000003,3001,9.6,,,1968
1968-08-01,Wales,W92000004,2864,4.8,,,1968
1968-08-01,Northern Ireland,N92000001,3326,-4.0,,,1968
1968-08-01,England,E92000001,3327,3.4,,,1968
1968-08-01,Yorkshire and The Humber,E12000003,2581,1.1,,,1968
1968-08-01,London,E12000007,4865,2.9,,,1968
1968-08-01,East Midlands,E12000004,3057,4.9,,,1968
1968-08-01,South West,E12000009,3429,2.5,,,1968
1968-08-01,United Kingdom,K02000001,3424,3.4,,,1968
1968-09-01,Scotland,S92000003,3001,9.6,,,1968
1968-09-01,Wales,W92000004,2864,4.8,,,1968
1968-09-01,Northern Ireland,N92000001,3326,-4.0,,,1968
1968-09-01,England,E92000001,3327,3.4,,,1968
1968-09-01,East Midlands,E12000004,3057,4.9,,,1968
1968-09-01,South West,E12000009,3429,2.5,,,1968
1968-09-01,Yorkshire and The Humber,E12000003,2581,1.1,,,1968
1968-09-01,London,E12000007,4865,2.9,,,1968
1968-09-01,United Kingdom,K02000001,3424,3.4,,,1968
1968-10-01,Wales,W92000004,2878,0.5,,,1968
1968-10-01,England,E92000001,3309,-0.5,,,1968
1968-10-01,Northern Ireland,N92000001,3704,11.4,,,1968
1968-10-01,Scotland,S92000003,2811,-6.3,,,1968
1968-10-01,South West,E12000009,3512,2.4,,,1968
1968-10-01,East Midlands,E12000004,2961,-3.1,,,1968
1968-10-01,London,E12000007,4757,-2.2,,,1968
1968-10-01,Yorkshire and The Humber,E12000003,2581,0.0,,,1968
1968-10-01,United Kingdom,K02000001,3405,-0.5,,,1968
1968-11-01,England,E92000001,3309,-0.5,,,1968
1968-11-01,Northern Ireland,N92000001,3704,11.4,,,1968
1968-11-01,Wales,W92000004,2878,0.5,,,1968
1968-11-01,Scotland,S92000003,2811,-6.3,,,1968
1968-11-01,London,E12000007,4757,-2.2,,,1968
1968-11-01,Yorkshire and The Humber,E12000003,2581,0.0,,,1968
1968-11-01,South West,E12000009,3512,2.4,,,1968
1968-11-01,East Midlands,E12000004,2961,-3.1,,,1968
1968-11-01,United Kingdom,K02000001,3405,-0.5,,,1968
1968-12-01,Scotland,S92000003,2811,-6.3,,,1968
1968-12-01,Wales,W92000004,2878,0.5,,,1968
1968-12-01,Northern Ireland,N92000001,3704,11.4,,,1968
1968-12-01,England,E92000001,3309,-0.5,,,1968
1968-12-01,London,E12000007,4757,-2.2,,,1968
1968-12-01,South West,E12000009,3512,2.4,,,1968
1968-12-01,Yorkshire and The Humber,E12000003,2581,0.0,,,1968
1968-12-01,East Midlands,E12000004,2961,-3.1,,,1968
1968-12-01,United Kingdom,K02000001,3405,-0.5,,,1968
1969-01-01,Northern Ireland,N92000001,3485,-5.9,,,1969
1969-01-01,Scotland,S92000003,3031,7.8,,,1969
1969-01-01,Wales,W92000004,2878,0.0,,,1969
1969-01-01,England,E92000001,3364,1.7,,,1969
1969-01-01,South West,E12000009,3553,1.2,,,1969
1969-01-01,London,E12000007,4919,3.4,,,1969
1969-01-01,East Midlands,E12000004,2995,1.1,,,1969
1969-01-01,Yorkshire and The Humber,E12000003,2624,1.7,,,1969
1969-01-01,United Kingdom,K02000001,3461,1.6,,,1969
1969-02-01,England,E92000001,3364,1.7,,,1969
1969-02-01,Scotland,S92000003,3031,7.8,,,1969
1969-02-01,Northern Ireland,N92000001,3485,-5.9,,,1969
1969-02-01,Wales,W92000004,2878,0.0,,,1969
1969-02-01,South West,E12000009,3553,1.2,,,1969
1969-02-01,East Midlands,E12000004,2995,1.1,,,1969
1969-02-01,Yorkshire and The Humber,E12000003,2624,1.7,,,1969
